 TASK                                                           | STATUS
------------------------------------------------------------------------------------------------------
 Testare tutti i suppliers/funzioni del backend sul runtime.    | DONE
 Adattare states e logiche runtime.                             | DONE
 Mappare tutti i suppliers/funzioni nella VM lua.               | PROGRESS
 Demo tecnica minimale.                                         | TODO
 Implementare funzioni di gestione camera e switch tra stati.   | TODO
 Demo tecnica.                                                  | TODO
 Implementare prime logiche di gioco e GUI.                     | TODO
 Demo minimale.                                                 | TODO
 Implementare cinematica.                                       | TODO
 Implementare sistema messaggi.                                 | TODO
 Implementare meccaniche di gioco.                              | TODO
 Demo.                                                          | TODO
 Sviluppo gameplay.                                             | TODO
